Movie,Tags,Rating,Meta_score,Preview,Stars,Director,Writer
No Country for Old Men,"Cinematography,Back to top,Narrative complexity,Serial Killer,Drama,Contemporary Western,Suspenseful,Allegorical elements,Psychological Thriller,Atmospheric,Philosophical elements,Dark tone,Adaptation,Performance,Character development,Crime,Thriller",8.2,92,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,"Josh Brolin,Tommy Lee Jones,Javier Bardem",,
Top Gun: Maverick,"Action Epic,Cinematography,Nostalgic,Back to top,Thin story,Drama,Formulaic,Action sequences,Epic,Emotional stakes,Sound design,Thrilling,Character development,Practical effects,Action",8.2,78,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.","Jennifer Connelly,Tom Cruise,Miles Teller",,
Wild Strawberries,"Artistic vision,Cinematography,Inner conflict,Nostalgic,Back to top,Personal growth,Drama,Romance,Family dynamics,Meaning of life,Psychological Drama,Symbolism,Existential",8.1,88,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","Ingrid Thulin,Victor Sjöström,Bibi Andersson",,
Tokyo Story,"Cinematography,Back to top,Authentic emotion,Human experience,Family dynamics,Drama,Emotional weight,Psychological Drama,Traditional values,Generational appeal,Social commentary,Thought-provoking",8.1,100,"An old couple visit their children and grandchildren in the city, but receive little attention.","Chishû Ryû,Chieko Higashiyama,Sô Yamamura",,
Rocky,"Standout performance,Back to top,Sport,Authentic emotion,Iconic score,Thin story,Drama,Iconic performance,Romantic,Enduring legacy,Boxing,Inspirational,Character development",8.1,70,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"Sylvester Stallone,Burt Young,Talia Shire",,
The Third Man,"Iconic imagery,Cinematography,Back to top,Whodunnit,Drama,Direction,Suspenseful,Hard-boiled Detective,Atmospheric,Social commentary,Dark tone,Film Noir,Mystery,Historical accuracy,Musical score,Thriller",8.1,97,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Joseph Cotten,Alida Valli,Orson Welles",,
Logan,"Dystopian Sci-Fi,Cinematography,Unpredictable,Back to top,Thin story,Family dynamics,Drama,Direction,Emotional weight,Action sequences,Sci-Fi,Superhero,Dark tone,Performance,Road Trip,Action,Thriller",8.1,77,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Patrick Stewart,Hugh Jackman,Dafne Keen",,
Mr. Smith Goes to Washington,"Back to top,Authentic emotion,Drama,Direction,Courage,Performance,Political Drama,Social commentary,Dramatic tension,Inspirational,Comedy,Character development",8.1,73,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.","James Stewart,Jean Arthur,Claude Rains",,
On the Waterfront,"Cinematography,Legal Thriller,Legal Drama,Authentic emotion,Inner conflict,Back to top,Drama,Realism,Atmospheric,Social commentary,Tragedy,Performance,Dramatic tension,Crime,Thriller",8.1,91,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.","Marlon Brando,Karl Malden,Lee J. Cobb",,
The Wages of Fear,"Cinematography,Back to top,Drama,Direction,Suspenseful,Psychological Drama,Action sequences,Existential,Survival,Social commentary,Adventure,Performance,Dramatic tension,Thriller",8.1,85,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Charles Vanel,Peter van Eyck,Yves Montand",,
The General,"Back to top,Historical accuracy,Authentic emotion,Drama,Action sequences,Technical achievement,Romantic,Stunts,Farce,Slapstick,Adventure,Comedy,Enduring legacy,War,Action,Comedic brilliance",8.1,N/A,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.","Marion Mack,Glen Cavender,Buster Keaton",,
Mary and Max,"Soundtrack,Animation style,Adult Animation,Coming-of-Age,Authentic emotion,Dark humor,Narration,Drama,Family dynamics,Back to top,Mental health,Psychological Drama,Stop Motion Animation,Social commentary,Dark Comedy,Animation,Comedy,Friendship",8.1,72,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome.","Toni Collette,Philip Seymour Hoffman,Eric Bana",,
The Deer Hunter,"Cinematography,Soundtrack,Pacing,Back to top,Drama,Direction,Symbolism,Mental health,Character development,Epic,War,Realism,Friendship,War Epic",8.1,90,The lives of a group of friends are forever changed by the Vietnam War.,"Robert De Niro,Christopher Walken,John Cazale",,
Wild Tales,"Unpredictable,Thriller,Back to top,Dark humor,Drama,Surreal,Social commentary,Dark Comedy,Comedy,Thrilling,Comedic brilliance",8.1,77,Six short stories that explore the extremities of human behavior involving people in distress.,"Darío Grandinetti,Mónica Villa,María Marull",,
The Gold Rush,"Back to top,Physical comedy,Drama,Comedy,Practical effects,Authentic emotion,Romantic,Feel-Good Romance,Enduring legacy,Historical accuracy,Western,Comedic brilliance,Romance,Satire,Romantic Comedy,Technical achievement,Farce,Slapstick,Adventure,Iconic scene",8.1,90,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.","Charles Chaplin,Tom Murray,Mack Swain",,
Sherlock Jr.,"Back to top,Dreamlike,Physical comedy,Stunts,Comedy,Bumbling Detective,Nostalgic,Special effects,Feel-Good Romance,Iconic ending,Dramatic depth,Comedic brilliance,Romance,Romantic Comedy,Technical achievement,Farce,Slapstick,Dubbing,Action",8.1,N/A,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","Joe Keaton,Kathryn McGuire,Buster Keaton",,
Ford v Ferrari,"Motorsport,Cinematography,Back to top,Drama,Thrilling,Chemistry,Sport,Biography,Historical accuracy,Car Action,Action sequences,Period Drama,Performance,Dramatic tension,Character development,Friendship,Docudrama,Sound design,Action",8.1,81,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"Jon Bernthal,Matt Damon,Christian Bale",,
Jaws,"Horror,Standout performance,Cinematography,Back to top,Iconic score,Direction,Suspenseful,Survival,Satisfying ending,Monster Horror,Adventure,Sea Adventure,Thrilling,Character development,Practical effects,Chemistry,Thriller",8.1,87,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down.","Roy Scheider,Robert Shaw,Richard Dreyfuss",,
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"Hand-Drawn Animation,Back to top,Sword & Sorcery,Adult Animation,Supernatural Fantasy,Anime,Action,Superhero,Adventure,Dark Fantasy,Shōnen",8.2,72,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.","Akari Kitô,Yoshitsugu Matsuoka,Natsuki Hanae",,
Pirates of the Caribbean: The Curse of the Black Pearl,"Standout performance,Back to top,Pacing,Adaptation,Supernatural Fantasy,Visual spectacle,Thin story,Special effects,Fantasy,Iconic performance,Action sequences,Sword & Sandal,Adventure,Sea Adventure,Comedic brilliance,Character development,Swashbuckler,Action",8.1,63,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.","Orlando Bloom,Johnny Depp,Geoffrey Rush",,
Drishyam,"Back to top,Drama,Suspense Mystery,Mystery,Crime,Thriller",8.2,N/A,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.","Shriya Saran,Ajay Devgn,Tabu",,
Gangs of Wasseypur,"Back to top,Drama,Satire,Gangster,True Crime,Comedy,Crime,Action,Thriller",8.2,89,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.","Nawazuddin Siddiqui,Manoj Bajpayee,Tigmanshu Dhulia",,
The Help,"Back to top,Historical accuracy,Authentic emotion,Drama,Courage,Emotional weight,Social commentary,Period Drama,Performance,Character development,Friendship",8.1,62,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.","Emma Stone,Octavia Spencer,Viola Davis",,
To Be or Not to Be,"Back to top,Historical accuracy,Dark humor,Romance,Suspenseful,Great ensemble,Screwball Comedy,Iconic performance,Social commentary,Enduring legacy,Comedy,War,Comedic brilliance",8.1,86,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","Jack Benny,Carole Lombard,Robert Stack",,
The Grapes of Wrath,"Cinematography,Back to top,Adaptation,Historical accuracy,Family dynamics,Drama,Social commentary,Survival,Tragedy,Period Drama,Performance,Character development",8.1,96,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.","Jane Darwell,John Carradine,Henry Fonda",,
Groundhog Day,"Back to top,High-Concept Comedy,Personal growth,Drama,Romance,Holiday Romance,Holiday Comedy,Romantic Comedy,Fantasy,Existential,Philosophical elements,Romantic,Feel-Good Romance,Comedy,Character development,Thought-provoking,Chemistry,Comedic brilliance",8.0,72,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.","Andie MacDowell,Bill Murray,Chris Elliott",,
Into the Wild,"Cinematography,Freedom,Coming-of-Age,Soundtrack,Escapism,Back to top,Family dynamics,Drama,Biography,Docudrama,Survival,Philosophical elements,Tragedy,Social commentary,Adventure,Character development,Road Trip,Environmentalism",8.0,73,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.","Vince Vaughn,Emile Hirsch,Catherine Keener",,
Network,"Dialogue,Pacing,Back to top,Dystopian elements,Drama,Workplace Drama,Social commentary,Dark Comedy,Enduring legacy,Ambitious,Performance,Thought-provoking",8.1,83,"A television network cynically exploits a deranged former anchor's ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control.","William Holden,Faye Dunaway,Peter Finch",,
The Battle of Algiers,"Cinematography,Back to top,Historical accuracy,Authentic emotion,Drama,Docudrama,Political Drama,Atmospheric,Social commentary,Identity,Dramatic tension,War,Realism",8.1,96,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Jean Martin,Brahim Hadjadj,Yacef Saadi",,
The Handmaiden,"Cinematography,Back to top,Erotic Thriller,Authentic emotion,Steamy Romance,Drama,Romance,Psychological Thriller,Atmospheric,Social commentary,Performance,Dramatic tension,Sexuality,Dark Romance,Thriller",8.1,85,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her fortune.","Ha Jung-woo,Cho Jin-woong,Kim Min-hee",,
My Father and My Son,"Back to top,Coming-of-Age,Authentic emotion,Family dynamics,Drama,Family,Heartfelt,Emotional weight,Political Drama,Generational appeal,Dramatic depth,Rural charm",8.2,N/A,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,"Hümeyra,Fikret Kuskan,Çetin Tekindor",,
A Silent Voice: The Movie,"Hand-Drawn Animation,Slice of Life,Inner conflict,Coming-of-Age,Authentic emotion,Back to top,Anime,Drama,Personal growth,Mental health,Psychological Drama,Social commentary,Sound design,Dramatic depth,Animation,Character development,Friendship,Shōnen",8.1,78,"A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to make amends.","Saori Hayami,Miyu Irino,Aoi Yûki",,
The Iron Giant,"Back to top,Heartfelt,Kaiju,Hand-Drawn Animation,Animation style,Nostalgic,Space Sci-Fi,High-Concept Comedy,Buddy Comedy,Generational appeal,Artificial Intelligence,Alien Invasion,Animation,Inspirational,Character development,Friendship,Social commentary,Adventure,Action",8.1,85,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Harry Connick Jr.,Jennifer Aniston,Eli Marienthal",,
Rush,"Motorsport,Cinematography,Back to top,Sport,Drama,Biography,Direction,Docudrama,Action sequences,Sound design,Dramatic tension,Period Drama,Performance,Thrilling,Character development",8.1,74,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits.","Olivia Wilde,Daniel Brühl,Chris Hemsworth",,
Stand by Me,"Relatable,Bittersweet,Back to top,Inner conflict,Coming-of-Age,Authentic emotion,Personal growth,Drama,Family dynamics,Dark Comedy,Quest,Adventure,Comedy,Dramatic tension,Realism,Friendship",8.1,75,A writer recounts a childhood journey with his friends to find the body of a missing boy.,"Corey Feldman,Wil Wheaton,River Phoenix",,
The Passion of Joan of Arc,"Cinematography,Back to top,Legal Drama,History,Authentic emotion,Religious themes,Historical accuracy,Drama,Biography,Psychological Drama,Technical achievement,Costume Drama,Atmospheric,Tragedy,Period Drama,Performance,Dramatic tension,Camera work",8.1,98,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy, and the ecclesiastical jurists attempt to force her to recant her claims of holy visions.","Maria Falconetti,André Berley,Eugene Silvain",,
The Wizard of Oz,"Back to top,Allegorical elements,Adaptation,Fairy Tale,Family,Special effects,Quest,Enduring legacy,Symbolism,Fantasy,Generational appeal,Adventure Epic,Classic Musical,Character development,Musical score,Fantasy Epic,Production design,Adventure,Musical",8.1,92,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","Ray Bolger,Judy Garland,Frank Morgan",,
Hachi: A Dog's Tale,"Back to top,Animal Adventure,Drama,Biography,Family",8.1,N/A,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond grows deeper, a beautiful relationship unfolds.","Richard Gere,Cary-Hiroyuki Tagawa,Joan Allen",,
The Incredibles,"Computer Animation,Back to top,Animation style,Originality,Pacing,Family dynamics,Family,Action sequences,Social commentary,Superhero,Adventure,Animation,Character development,Action",8.0,90,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.","Holly Hunter,Samuel L. Jackson,Craig T. Nelson",,
The Exorcist,"Horror,Supernatural themes,Back to top,Horror craft,Religious themes,Direction,Suspenseful,Psychological Drama,Psychological Horror,Iconic performance,Atmospheric,Tragedy,Sound design,Supernatural Horror,Body Horror,Practical effects",8.1,83,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.","Max von Sydow,Ellen Burstyn,Linda Blair",,
Platoon,"Back to top,Inner conflict,Historical accuracy,Authentic emotion,Drama,Character development,Action sequences,Atmospheric,Morality,Social commentary,Performance,War,Realism",8.1,92,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.","Tom Berenger,Willem Dafoe,Charlie Sheen",,
The Sound of Music,"Cinematography,Escapism,Back to top,Family dynamics,Drama,Nostalgic,Authentic emotion,Family,Biography,Epic,Romantic,Generational appeal,Classic Musical,Period Drama,Performance,Musical score,Romance,Uplifting,Musical",8.1,63,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"Eleanor Parker,Julie Andrews,Christopher Plummer",,
The Best Years of Our Lives,"Back to top,Historical accuracy,Authentic emotion,Human experience,Family dynamics,Drama,Romance,Courage,Mental health,Epic,Social commentary,Feel-Good Romance,Adaptation,War,Realism",8.1,93,"Three World War II veterans, two of them traumatized or disabled, return home to the American Midwest to discover that they and their families have been irreparably changed.","Myrna Loy,Fredric March,Dana Andrews",,
Before Sunset,"Bittersweet,Cinematography,Dialogue,Back to top,Authentic emotion,Personal growth,Drama,Romance,Atmospheric,Romantic,Feel-Good Romance,Character development,Realism,Chemistry",8.1,91,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Julie Delpy,Ethan Hawke,Vernon Dobtcheff",,
Hotel Rwanda,"Back to top,History,Authentic emotion,Historical accuracy,Human experience,Drama,Biography,Courage,Docudrama,Epic,Survival,Social commentary,War,Realism",8.1,79,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Joaquin Phoenix,Sophie Okonedo,Don Cheadle",,
Jai Bhim,"Cinematography,Back to top,Legal Drama,Authentic emotion,Drama,Direction,Social commentary,Performance,Realism,Crime,Thought-provoking",8.6,N/A,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","Lijo Mol Jose,Suriya,Manikandan K.",,
Room,"Standout performance,Cinematography,Back to top,Family dynamics,Drama,Psychological depth,Emotional weight,Psychological Drama,Social commentary,Survival,Performance,Realism,Thriller",8.1,86,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.","Brie Larson,Sean Bridgers,Jacob Tremblay",,
The Seventh Seal,"Cinematography,Back to top,Religious themes,Dark humor,Drama,Symbolism,Fantasy,Psychological Drama,Existential,Atmospheric,Philosophical elements,Performance,Thought-provoking",8.1,88,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.","Max von Sydow,Gunnar Björnstrand,Bengt Ekerot",,
La haine,"Cinematography,Inner conflict,Back to top,Drama,Psychological Drama,Gangster,Atmospheric,Identity,Social commentary,Realism,Crime,Friendship",8.1,N/A,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Hubert Koundé,Vincent Cassel,Saïd Taghmaoui",,
Maharaja,"Cinematography,One-Person Army Action,Unpredictable,Back to top,Drama,Suspenseful,Non-linear structure,Action sequences,Social commentary,Dark tone,Satisfying ending,Crime,Thought-provoking,Action,Thriller",8.4,N/A,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.","Vijay Sethupathi,Mamta Mohandas,Anurag Kashyap",,
The Big Lebowski,"Back to top,Rewatchable,Dark humor,Narrative complexity,Buddy Comedy,Surreal,Great ensemble,Drug Crime,Satire,Stoner Comedy,Philosophical elements,Comedy,Crime,Iconic lines,Comedic brilliance",8.1,71,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","Jeff Bridges,Julianne Moore,John Goodman",,
Spotlight,"Back to top,Legal Drama,Authentic emotion,Religious themes,Drama,Biography,Courage,Docudrama,Workplace Drama,True Crime,Dark tone,Period Drama,Performance,Historical accuracy,Crime,Thought-provoking",8.1,93,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Mark Ruffalo,Michael Keaton,Rachel McAdams",,
The Terminator,"Cyberpunk,Back to top,Thrilling,Iconic lines,Dystopian elements,Direction,Special effects,Iconic performance,Sci-Fi,Urban Adventure,Time Travel,Atmospheric,Dystopian Sci-Fi,Action sequences,Artificial Intelligence,Character development,Suspenseful,Adventure,Action",8.1,84,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,"Arnold Schwarzenegger,Linda Hamilton,Michael Biehn",,
In the Name of the Father,"Back to top,Legal Drama,Historical accuracy,Family dynamics,Drama,Biography,Emotional weight,Docudrama,Prison Drama,Social commentary,Tragedy,True Crime,Dramatic tension,Period Drama,Performance,Character development,Crime",8.1,84,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.","Pete Postlethwaite,Alison Crosbie,Daniel Day-Lewis",,
"Monsters, Inc.","Back to top,Creature design,Comedy,Animation style,Authentic emotion,Family,Urban Adventure,Supernatural Fantasy,Buddy Comedy,Animation,Comedic brilliance,Character development,Friendship,Worldbuilding,Computer Animation,Satire,Farce,Adventure,Charming",8.1,79,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Mary Gibbs,Billy Crystal,John Goodman",,
Gone Girl,"Back to top,Drama,Suspense Mystery,Standout performance,Thriller,Whodunnit,Direction,Psychological Thriller,Dark tone,Mystery,Unpredictable,Narrative complexity,Tragedy,Performance,Character development,Erotic Thriller,Suspenseful,Psychological Drama,Social commentary,Psychological depth",8.1,79,The husband of a missing woman becomes the chief suspect in her disappearance.,"Neil Patrick Harris,Rosamund Pike,Ben Affleck",,
How to Train Your Dragon,"Back to top,Family dynamics,Courage,Creature design,Teen Adventure,Animation style,Family,Sword & Sorcery,Fantasy,Formulaic,Action sequences,Animation,Character development,Friendship,Computer Animation,Teen Fantasy,Social commentary,Adventure,Action",8.1,75,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse",,
Ratatouille,"Computer Animation,Back to top,Animation style,Authentic emotion,Animal Adventure,Family dynamics,Family,Buddy Comedy,Fantasy,Satire,Creature design,Appetizing,Adventure,Animation,Inspirational,Comedy,Character development,Comedic brilliance",8.1,96,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Patton Oswalt,Brad Garrett,Lou Romano",,
Memories of Murder,"Cinematography,Back to top,Thrilling,Serial Killer,Drama,Suspenseful,Police Procedural,Atmospheric,Social commentary,Dark Comedy,True Crime,Dark tone,Comedic brilliance,Mystery,Realism,Crime,Thought-provoking,Thriller",8.1,82,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Kim Sang-kyung,Song Kang-ho,Kim Roe-ha",,
Blade Runner,"Cyberpunk,Dystopian Sci-Fi,Cinematography,Soundtrack,Dystopian elements,Visual spectacle,Back to top,Drama,Cyber Thriller,Production design,Artificial Intelligence,Sci-Fi,Atmospheric,Philosophical elements,Ambitious,Thought-provoking,Action,Thriller",8.1,84,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"Sean Young,Rutger Hauer,Harrison Ford",,
Before Sunrise,"Cinematography,Dialogue,Back to top,Authentic emotion,Drama,Romance,Atmospheric,Philosophical elements,Romantic,Comedy,Realism,Thought-provoking,Chemistry",8.1,79,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Julie Delpy,Ethan Hawke,Andrea Eckert",,
12 Years a Slave,"Cinematography,Back to top,History,Authentic emotion,Drama,Biography,Psychological Drama,Docudrama,Epic,Costume Drama,Social commentary,Tragedy,Survival,Dark tone,Period Drama,Performance,Historical accuracy,Thought-provoking",8.1,96,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Michael Fassbender,Michael Kenneth Williams,Chiwetel Ejiofor",,
Children of Heaven,"Universal themes,Back to top,Sport,Authentic emotion,Religious themes,Human experience,Family dynamics,Drama,Family,Courage,Symbolism,Social commentary,Realism,Friendship",8.2,77,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","Amir Farrokh Hashemian,Reza Naji,Bahare Seddiqi",,
Spider-Man: No Way Home,"Back to top,Nostalgic,Supernatural Fantasy,Authentic emotion,Thin story,Special effects,Fantasy,Action sequences,Sci-Fi,Urban Adventure,Superhero,Adventure,Uneven quality,Character development,Chemistry,Action",8.2,71,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.","Benedict Cumberbatch,Tom Holland,Zendaya",,
Hacksaw Ridge,"Cinematography,Back to top,History,Historical accuracy,Drama,Biography,Courage,Character development,Docudrama,Action sequences,Epic,Faith,Inspirational,Period Drama,Performance,War,Realism,War Epic",8.1,71,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","Sam Worthington,Luke Bracey,Andrew Garfield",,
The Grand Budapest Hotel,"Artistic vision,Cinematography,Nostalgic,Authentic emotion,Back to top,Dark humor,Drama,Great ensemble,Production design,Quirky Comedy,Comedy,Character development,Comedic brilliance",8.1,88,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","Mathieu Amalric,F. Murray Abraham,Ralph Fiennes",,
Barry Lyndon,"Cinematography,Back to top,Political Drama,Narration,Pacing,Authentic emotion,Epic,Costume Drama,Globetrotting Adventure,Dark Comedy,Adventure Epic,Tragedy,Period Drama,Musical score,Visual spectacle,Psychological Drama,Production design,Adventure,Ambitious",8.1,89,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"Patrick Magee,Ryan O'Neal,Marisa Berenson",,
Dead Poets Society,"Thought-provoking,Educational,Freedom,Coming-of-Age,Authentic emotion,Back to top,Personal growth,Drama,Teen Drama,Social commentary,Inspirational,Comedy,Iconic ending,Character development,Friendship",8.1,79,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.","Robin Williams,Ethan Hawke,Robert Sean Leonard",,
My Neighbor Totoro,"Back to top,Family dynamics,Heartfelt,Creature design,Comedy,Iyashikei,Fairy Tale,Hand-Drawn Animation,Animation style,Nostalgic,Authentic emotion,Family,Atmospheric,Anime,Fantasy,Animation,Musical score,Fantastical elements,Adventure,Charming",8.1,87,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto",,
Million Dollar Baby,"Back to top,Sport,Authentic emotion,Uneven quality,Family dynamics,Drama,Direction,Emotional weight,Psychological Drama,Tragedy,Dramatic tension,Boxing,Performance,Character development,Realism,Chemistry",8.1,86,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.","Clint Eastwood,Morgan Freeman,Hilary Swank",,
Mad Max: Fury Road,"Cinematography,Back to top,Stunts,Thrilling,Practical effects,Dystopian elements,Epic,Quest,Desert Adventure,Road Trip,Car Action,Dystopian Sci-Fi,Action sequences,Adventure Epic,Character development,Action Epic,Visual spectacle,Production design,Technical achievement,Adventure,Action",8.1,90,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.","Charlize Theron,Tom Hardy,Nicholas Hoult",,
Ben-Hur,"Cinematography,Back to top,Religious themes,Drama,Production design,Action sequences,Epic,Sword & Sandal,Faith,Adventure Epic,Adventure,Dramatic tension,Period Drama,Character development,Chemistry",8.1,90,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.","Stephen Boyd,Jack Hawkins,Charlton Heston",,
Gran Torino,"Dialogue,Back to top,Authentic emotion,Personal growth,Drama,Family dynamics,Emotional weight,Psychological Drama,Social commentary,Dark Comedy,Performance,Character development,Friendship",8.1,73,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.","Clint Eastwood,Bee Vang,Christopher Carley",,
